ui_function,server_function
htmlOutput,renderUI
uiOutput,renderUI
imageOutput,renderImage
plotOutput,renderPlot
tableOutput,renderTable
dataTableOutput,renderDataTable
textOutput,renderText
vebatimTextOutput,renderPrint
downloadButton,downloadHandler
downloadLink,downloadHandler
downloadBttn,downloadHandler
plotlyOutput,renderPlotly
